countrycode,country,year17,pop17,cn17,rgdpna17,capitalpercapita17,rgdppercapita17,year16,pop16,cn16,rgdpna16,capitalpercapita16,rgdppercapita16,growthofcapital,growthofrgdp,ratio
GBR,United Kingdom,2017,66.18158722,13221941,2525001,199782.7728,38152.62078,2016,65.78857422,12950596,2481788.5,196851.7505,37723.70095,0.0149,0.0114,0.76
GEO,Georgia,2017,3.912060976,97687.42188,47838.26563,24970.83314,12228.4049,2016,3.925405025,93152.65625,45632.68359,23730.71203,11624.96183,0.0523,0.0519,0.99
GHA,Ghana,2017,28.83362961,918879.375,150673.2188,31868.32138,5225.607071,2016,28.20672798,887543.1875,139327.1875,31465.65557,4939.501937,0.0128,0.0579,4.53
GIN,Guinea,2017,12.71717644,56544.49609,28514.60547,4446.309004,2242.211989,2016,12.39592361,52531.64453,26342.37695,4237.816089,2125.08384,0.0492,0.0551,1.12
GMB,Gambia,2017,2.100568056,16445.58594,5153.540527,7829.113601,2453.403265,2016,2.038501024,15395.71387,4928.89502,7552.468056,2417.901664,0.0366,0.0147,0.4
GNB,Guinea-Bissau,2017,1.861282945,6039.941895,2881.252686,3245.042304,1547.992848,2016,1.815698028,5834.895508,2720.241455,3213.582556,1498.17944,0.0098,0.0332,3.4
GNQ,Equatorial Guinea,2017,1.26768899,129940.2891,31270.32813,102501.7099,24667.19233,2016,1.221490026,133419.2188,32310.8125,109226.6134,26451.9659,-0.0616,-0.0675,1.1
GRC,Greece,2017,11.15977287,2442296.25,243241.75,218848.204,21796.29933,2016,11.18371582,2351154,239635,210230.1272,21427.13601,0.0410,0.0172,0.42
GRD,Grenada,2017,0.107825004,6905.54834,1385.478149,64044.03535,12849.32162,2016,0.107317001,6748.723145,1318.759277,62885.87181,12288.44703,0.0184,0.0456,2.48
GTM,Guatemala,2017,16.91350365,349707.4688,122649.5078,20676.22865,7251.573085,2016,16.58246994,336513.3125,119354.9063,20293.3166,7197.655517,0.0189,0.0075,0.4
HKG,"China, Hong Kong SAR",2017,7.364882946,1971858.25,370238.0938,267737.8941,50270.73702,2016,7.302843094,1915592.25,356604.5,262307.7376,48830.91358,0.0207,0.0295,1.42
HND,Honduras,2017,9.265067101,149489.6406,41873.82813,16134.76071,4519.538571,2016,9.112867355,143070.7969,39961.55078,15699.86606,4385.178586,0.0277,0.0306,1.11
